City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,isangel,-19.55,169.2667,77.11,78,75,4.61,VU,1696374123
261,okha,53.5739,142.9478,46.78,77,92,6.82,RU,1696374124
262,aasiaat,68.7098,-52.8699,18.7,65,18,6.22,GL,1696374124
263,sidney,-33.8679,151.2073,79.34,51,0,19.57,AU,1696373928
264,smara,26.7384,-11.6719,85.87,14,72,9.4,EH,1696374124
265,jalai nur,49.45,117.7,35.55,57,1,13.91,CN,1696374124
266,enkoping,59.6361,17.0777,49.86,92,100,9.86,SE,1696374124
267,nambucca heads,-30.65,153.0,77.0,54,0,19.17,AU,1696374125
268,lewistown,40.5992,-77.5714,77.74,73,0,0.0,US,1696374011
269,unai,-16.3575,-46.9061,80.44,48,98,4.05,BR,1696374125
270,quellon,-43.1167,-73.6167,47.23,82,85,1.34,CL,1696374125
271,kofele,7.0667,38.7833,50.34,93,99,8.55,ET,1696374125
272,porbandar,21.6422,69.6093,78.31,72,13,5.5,IN,1696374126
273,romny,50.751,33.4747,50.2,60,13,8.72,UA,1696374126
274,arroyo,41.6096,-4.7969,65.1,76,0,13.8,ES,1696374126
275,puerto aysen,-45.4,-72.7,43.88,98,86,3.27,CL,1696374126
276,hermanus,-34.4187,19.2345,58.23,91,89,9.89,ZA,1696374126
277,nikolayevsk-on-amure,53.1406,140.73,46.17,90,96,1.16,RU,1696374127
278,ghat,24.9647,10.1728,81.01,34,71,10.67,LY,1696374127
279,comodoro rivadavia,-45.8667,-67.5,58.86,31,0,5.75,AR,1696374127
280,egilsstadir,65.2653,-14.3948,40.91,93,100,13.8,IS,1696374127
281,gudibanda,13.6694,77.6983,69.53,86,92,5.19,IN,1696374127
282,mungaa,-4.9667,34.8833,62.6,58,40,9.4,TZ,1696374128
283,kloulklubed,7.0419,134.2556,78.69,80,100,4.43,PW,1696374128
284,cluain meala,52.355,-7.7039,53.42,95,91,5.75,IE,1696374128
285,palikir - national government center,6.9248,158.1611,81.34,94,100,3.44,FM,1696374128
286,khandyga,62.6667,135.6,40.51,96,100,3.33,RU,1696374129
287,kayangel,8.0823,134.7173,77.7,83,100,5.61,PW,1696374129
288,san matias,-16.3667,-58.4,99.18,26,68,13.31,BO,1696374129
289,tura,25.5198,90.2201,73.17,94,100,5.35,IN,1696374129
290,pandan,14.0453,124.1694,82.65,79,98,8.81,PH,1696374130
291,polyarnyy,69.1989,33.4478,38.16,81,100,2.8,RU,1696374130
292,dingwall,57.5953,-4.4272,51.89,88,80,7.38,GB,1696374130
293,pauini,-7.7136,-66.9764,88.77,40,76,2.55,BR,1696374130
294,ngerengere,-6.75,38.1167,73.81,77,99,2.04,TZ,1696374131
